Category,Sub_Category,Category_description,Service_Description,Price
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,"Maquillaje de novia premium, exclusivo de Paola Muñoz.",Maquillaje de Novia By Paola Munoz,"5,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Prueba y asesoria personalizada con Paola Muñoz para asegurar tu look ideal. ,Prueba de Maquillaje de Novia by PM,"6,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Diseño artístico en el vientre para un recuerdo hermoso y especial.,Belly Painting - Diseño para las embarazadas,"1,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,"Fantasía detallada con colores, brillo y acabados artísticos. Precio puede variar según la complejidad del diseño",Maquillaje de Fantasia Elaborado,"4,500.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Fantasía ligera y divertida con un toque creativo.,Maquillaje de Fantasia Sencillo,"3,500.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,"*Diseño con Piedras, adicional al maquillaje elegido",Glow Up Sencillo*,500.00 
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,"*Diseño con Piedras, adicional al maquillaje elegido",Glow Up Glam*,800.00 
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,"*Diseño con Piedras, adicional al maquillaje elegido",Glow Up Dram‡tico*,"1,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,"Maquillaje ultra duradero y perfecto para cámara, luces, sesiones de fotos en exterior y eventos.",Maquillaje Sesion de Fotos Piel Blindada,"4,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,"Maquillaje premium ultra duradero y perfecto para cámara, luces, sesiones de fotos en exterior y eventos.",Maquillaje Sesion de Fotos Piel Blindada by PM,"5,000.00 "
BEAUTY LASHES & BROWS,BROWS,"Servicio incluye: Diseño, depilación con hilo o cera y tintado con henna",Cejas Perfectas,"1,200.00 "
BEAUTY LASHES & BROWS,BROWS,"Servicio incluye: Diseño, depilación con hilo o cera y tintado con henna",Cejas Perfectas by PM,"2,000.00 "
BEAUTY LASHES & BROWS,BROWS,"Servicio incluye: Laminado de cejas, diseño, depilación y tintado de cejas.",Brow Lamination,"2,500.00 "
BEAUTY LASHES & BROWS,BROWS,"Servicio incluye: Laminado de cejas, diseño, depilación y tintado de cejas.",Brow Lamination by PM,"3,500.00 "
BEAUTY LASHES & BROWS,BROWS,,Depilación de Cejas con Hilo by PM,"1,200.00 "
BEAUTY LASHES & BROWS,BROWS,,Depilación de Cejas con Hilo/Cera,700.00 
BEAUTY LASHES & BROWS,BROWS,,Limpieza de Cejas con Hilo/Pinza,500.00 
BEAUTY LASHES & BROWS,BROWS,,Depilación de Cejas con Pinza,700.00 
BEAUTY LASHES & BROWS,BROWS,,Perfilado de Cejas con Navaja,500.00 
BEAUTY LASHES & BROWS,BROWS,,Tintado de Cejas by PM,"1,000.00 "
BEAUTY LASHES & BROWS,BROWS,,Tintado de Cejas,700.00 
BEAUTY LASHES & BROWS,LASHES,Extensiones de pestañas inferiores,Bottom Lashes,"1,500.00 "
BEAUTY LASHES & BROWS,LASHES,Extensiones de pestañas inferiores,Bottom Lashes by PM,"1,800.00 "
BEAUTY LASHES & BROWS,LASHES,Elevación y curvatura natural de tus pestañas para una mirada abierta,Lash Lift,"3,000.00 "
BEAUTY LASHES & BROWS,LASHES,Lash lift premium realizado por Paola Muñoz.,Lash Lift by PM,"4,000.00 "
BEAUTY LASHES & BROWS,LASHES,"Pestañas en tira para un look rápido, intenso y llamativo.",Pestañas Corridas,500.00 
BEAUTY LASHES & BROWS,LASHES,Pestañas colocadas por puntos para un efecto natural y ligero. Durabilidad de 7 a 10 dias,Pestañas Individuales por Punto,"1,200.00 "
BEAUTY LASHES & BROWS,LASHES,Pestañas colocadas por puntos para un efecto natural y ligero. Durabilidad de 7 a 10 dias Aplicación realizada por Paola Muñoz,Pestañas Individuales Por Puntos by PM,"1,700.00 "
BEAUTY LASHES & BROWS,LASHES,Extensiones una a una para un look natural y elegante.,Pestañas Pelo a Pelo,"3,000.00 "
BEAUTY LASHES & BROWS,LASHES,Pelo a pelo premium realizado por Paola Muñoz.,Pestañas Pelo a Pelo by PM,"4,000.00 "
BEAUTY LASHES & BROWS,LASHES,"Volumen moderno, ligero y uniforme con mayor duración.",Volumen Tecnologico,"3,500.00 "
BEAUTY LASHES & BROWS,LASHES,"Volumen moderno, ligero y uniforme con mayor duración. Tecnica premion aplicada por Paola Muñoz",Volumen Tecnologico by PM,"4,500.00 "
BEAUTY LASHES & BROWS,LASHES,Volumen intenso y definido para una mirada dramática.,Pestañas Volumen Ruso,"4,000.00 "
BEAUTY LASHES & BROWS,LASHES,Volumen ruso premium aplicado por Paola Muñoz.,Pestañas Volumen Ruso by PM,"5,000.00 "
BEAUTY LASHES & BROWS,LASHES,Máximo volumen y densidad para un look súper impactante.,Pestanas Extra Volumen,"5,000.00 "
BEAUTY LASHES & BROWS,LASHES,Extra volumen ruso premium realizado por Paola Muñoz.,Pestañas Extra Volumen Ruso by PM,"6,000.00 "
BEAUTY LASHES & BROWS,LASHES,Mezcla perfecta entre natural del pelo a pelo y voluminoso.,Pestañas Hibridas (Volumen + Pelo a Pelo),"4,000.00 "
BEAUTY LASHES & BROWS,LASHES,Técnica híbrida premium aplicada por Paola Muñoz.,Pestañas Hibridas by PM,"5,000.00 "
BEAUTY LASHES & BROWS,LASHES,Extensiones con tecnología UV para evitar alergias y mayor duración.,UV Lashes Extra Volumen,"6,000.00 "
BEAUTY LASHES & BROWS,LASHES,Extensiones con tecnología UV para evitar alergias y mayor duración.,UV Lashes Pelo a Pelo,"4,000.00 "
BEAUTY LASHES & BROWS,LASHES,Extensiones con tecnología UV para evitar alergias y mayor duración.,UV Lashes Volumen Ruso,"5,000.00 "
BEAUTY LASHES & BROWS,LASHES,Extensiones con tecnología UV para evitar alergias y mayor duración.,UV Lashes Volumen Tecnologico,"4,500.00 "
BEAUTY LASHES & BROWS,LASHES,,Retiro de Pestanas por Grupo,600.00 
BEAUTY LASHES & BROWS,LASHES,,Retiro de Pestañas Pelo a Pelo,800.00 
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas  Pelo a Pelo - 2 Semanas,"2,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas  Pelo a Pelo - 3 Semanas,"2,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas  VR - 2 Semanas,"2,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas  VR - 3 Semanas,"3,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas Hibridas -  2 Semanas,"2,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas Hibridas - 1 Semana,"2,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas Hibridas - 3 Semanas,"3,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas P/P 1 Semana by Paola,"2,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas P/P 2 Semanas by Paola,"2,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas P/P 3 Semanas by Paola,"3,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas VR - 1 Semana,"2,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas VR - 1 Semana by Paola,"2,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas VR - 2 Semanas by Paola,"3,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Pestañas VR - 3 Semanas by Paola,"3,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Volumen Tecnologico - 1 semana,"2,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Volumen Tecnologico - 2 semanas,"2,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque de Volumen Tecnologico - 3 semanas,"3,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque Volumen Tecnologico by PM - 1 Semana,"2,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque Volumen Tecnologico by PM - 2 Semanas,"3,000.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Retoque Volumen Tecnologico by PM - 3 Semanas,"3,500.00 "
BEAUTY LASHES & BROWS,RETOQUES,,Beauty Face,
BEAUTY LASHES & BROWS,RETOQUES,,Limpieza Facial,"2,800.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,"Limpieza facial profunda + dermaplaning para una piel suave, luminosa y renovada.",Facial + Dermaplaning,"4,000.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,Exfoliación facial que elimina células muertas y vello fino para una piel ultra suave.,Dermaplaning,"3,000.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,"Microneedling para mejorar textura, manchas, cicatrices y estimular colágeno.",Dermapen (Microneedling),"4,000.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,"Tratamiento facial completo en 6 pasos para hidratar, rejuvenecer y revitalizar la piel.",Tratamiento 6 pasos Casmara,"6,000.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,"Micropunción para regenerar la piel y mejorar líneas, marcas y firmeza.",Tratamiento Micropunción,"6,000.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,"Exfoliación corporal profunda para suavizar, aclarar y renovar la piel.",Peeling Corporal,"3,000.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,"Tratamiento con ácidos para renovar la piel, mejorar manchas y textura.",Peeling Quimico,"2,000.00 "
BEAUTY FACE & BODY,Cuidado de la Piel,Limpieza facial premium con hidratación profunda y acabado glow.,Limpieza Facial Luxury,"3,500.00 "
BEAUTY FACE & BODY,Depilación Corporal y Rostro,,Depilación de Barbilla Hilo/Cera,500.00 
BEAUTY FACE & BODY,Depilación Corporal y Rostro,,Depilación de 1/2 Pierna con Cera,600.00 
BEAUTY FACE & BODY,Depilación Corporal y Rostro,,Depilación de Piernas Completa con Cera,"1,200.00 "
BEAUTY FACE & BODY,Depilación Corporal y Rostro,,Depilación de Labio Superior con Cera/Hilo,500.00 
BEAUTY FACE & BODY,Depilación Corporal y Rostro,,Depilación de Axilas con Cera,600.00 
BEAUTY FACE & BODY,Depilación Corporal y Rostro,,Depilación Rostro Hilo/Cera,"1,500.00 "
BEAUTY FACE & BODY,Masajes,"Masaje suave y armonizante que libera tensiones, reduce el estrés y promueve una sensación profunda de bienestar.",Masaje de Relajación Cuerpo Completo,"2,500.00 "
BEAUTY FACE & BODY,Masajes,"Masaje focalizado que alivia tensión muscular, contracturas y estrés acumulado en la zona superior del cuerpo.",Masaje Cuello y Espalda,"1,300.00 "
BEAUTY FACE & BODY,Masajes,"Masaje suave que estimula la circulación, relaja los músculos faciales y aporta luminosidad natural a la piel.",Masaje Facial Relajante,"1,000.00 "
BEAUTY FACE & BODY,Masajes,"Masaje descontracturante y drenante que alivia la pesadez, mejora la circulación y deja las piernas ligeras y relajadas.",Masaje Piernas Cansadas,"1,300.00 "
BEAUTY FACE & BODY,Masajes,"Técnica manual suave que estimula el tránsito intestinal, ayuda a desinflamar y favorece la eliminación de toxinas.",Masaje Abdominal Vaciado Colon,900.00 
BEAUTY FACE & BODY,Masajes,"Masaje terapéutico que libera tensión, estimula puntos de presión y brinda una profunda sensación de descanso y bienestar.",Masaje de Pies Relajante 20mins,800.00 
BEAUTY FACE & BODY,Masajes,"Masaje suave que alivia tensión, mejora la circulación y deja tus manos ligeras y revitalizadas.",Masaje Relajante de Manos 20mins,600.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Mani & Pedi,"1,300.00 "
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Manicure,550.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Manicure Express (ideal para extensiones o sistemas de uñas),400.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Manicure Niñas (menos de 10 años),400.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Manicure Caballeros,600.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Pedicure,750.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Pedicure Express (ideal para extensiones o sistemas de uñas),600.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Pedicure Niñas (menores de 10 años),500.00 
BEAUTY NAILS,MANICURE & PEDICURE,Incluye Pintura Normal,Pedicure Caballeros,800.00 
BEAUTY NAILS,PINTURAS,,Pintura en Gel Caliente Manos,600.00 
BEAUTY NAILS,PINTURAS,,Pintura en Gel Caliente Pies,700.00 
BEAUTY NAILS,PINTURAS,,Pintura en Gel Frio Manos,500.00 
BEAUTY NAILS,PINTURAS,,Pintura en Gel Frio Pies,550.00 
BEAUTY NAILS,PINTURAS,,Pintura Manos Regular,400.00 
BEAUTY NAILS,PINTURAS,,Pintura Pies Regular,450.00 
BEAUTY NAILS,PINTURAS,,French en Gel,750.00 
BEAUTY NAILS,PINTURAS,,French Regular,200.00 
BEAUTY NAILS,PINTURAS,,Diseño con Piedras - Full Set,"1,000.00 "
BEAUTY NAILS,PINTURAS,,Diseño con Piedras 1 uña,200.00 
BEAUTY NAILS,GEL BUILDER CUCCIO,*Fortalecimiento de las uñas a base de calcio,Full Set,"1,500.00 "
BEAUTY NAILS,GEL BUILDER CUCCIO,*Fortalecimiento de las uñas a base de calcio,Retoque,"1,000.00 "
BEAUTY NAILS,GEL BUILDER CUCCIO,*Fortalecimiento de las uñas a base de calcio,Con Tips/Extension,"2,500.00 "
BEAUTY NAILS,DIPPING POWDER CUCCIO,Sistema en polvo con color para extensiones de uñas sin olor. Alternativa al acrilico,Full Set,"1,200.00 "
BEAUTY NAILS,DIPPING POWDER CUCCIO,Sistema en polvo con color para extensiones de uñas sin olor. Alternativa al acrilico,Retoque,"1,000.00 "
BEAUTY NAILS,DIPPING POWDER CUCCIO,Sistema en polvo con color para extensiones de uñas sin olor. Alternativa al acrilico,Con Tips/Extension,"2,500.00 "
BEAUTY NAILS,PRESS ON,Sistema de extensiones de uñas sin olor,Extensiones de uñas Press On - 1 uña,300.00 
BEAUTY NAILS,PRESS ON,Sistema de extensiones de uñas sin olor,Extensiones de uñas Press On - Full Set,"1,700.00 "
BEAUTY NAILS,PRESS ON,Sistema de extensiones de uñas sin olor,Extensiones de uñas Press On - Retoque,"1,200.00 "
BEAUTY NAILS,RETIROS,,Retiro de Acrilico,400.00 
BEAUTY NAILS,RETIROS,,Retiro de Builder,400.00 
BEAUTY NAILS,RETIROS,,Retiro de Dipping,400.00 
BEAUTY NAILS,RETIROS,,Retiro de Gel Manos,300.00 
BEAUTY NAILS,RETIROS,,Retiro de Gel Pies,400.00 
BEAUTY NAILS,OTROS,,"Spa de Manos (Incluye mani, masaje y mascarilla)","1,350.00 "
BEAUTY NAILS,OTROS,,"Spa de Pies (Incluye pedi, masaje y mascarilla)","1,650.00 "
BEAUTY NAILS,OTROS,,Mascarilla Manos,400.00 
BEAUTY NAILS,OTROS,,Mascarilla Pies,500.00 
BEAUTY HAIR,Lavados y Secados,,Lavado Pelo Corto,400.00 
BEAUTY HAIR,Lavados y Secados,,Lavado Pelo Extra Largo,600.00 
BEAUTY HAIR,Lavados y Secados,,Lavado Pelo Mediano/Largo,500.00 
BEAUTY HAIR,Lavados y Secados,,Lavado y Secado Pelo Corto,600.00 
BEAUTY HAIR,Lavados y Secados,,Lavado y Secado Pelo Extra Corto,500.00 
BEAUTY HAIR,Lavados y Secados,,Lavado y Secado Pelo Extra Largo,800.00 
BEAUTY HAIR,Lavados y Secados,,Lavado y Secado Pelo Largo,700.00 
BEAUTY HAIR,Lavados y Secados,,Secado de Pelo Corto,500.00 
BEAUTY HAIR,Lavados y Secados,,Secado Pelo Extra Largo,700.00 
BEAUTY HAIR,Lavados y Secados,,Secado Pelo Mediano/Largo,600.00 
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Lavado con Linea Adonai 7 Pasos,600.00 
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Lavado con Linea BIOLAGE,700.00 
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Lavado con Linea DEYA,500.00 
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Lavado con Linea Diamond,500.00 
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Lavado con Linea MAKA Antigrasa,500.00 
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Lavado con Linea Moroccanoil,700.00 
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Ritual Calmante BIOLAGE,"2,000.00 "
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Ritual Rejuvenecedor BIOLAGE,"2,000.00 "
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Ritual Renovador BIOLAGE,"2,000.00 "
BEAUTY HAIR,Lavados Con Lineas,"Incluye: Shampoo, Acondicionador, Mascarilla, Leave In, Gotas, Productos de Terminación.  *Secado no Incluido",Ritual Restaurador BIOLAGE,"2,000.00 "
BEAUTY HAIR,TRATAMIENTOS PROFUNDOS,"Incluye lavado y secado. Tratamiento profundo que hidrata, repara y controla el frizz, dejando el cabello suave, brillante y saludable sin químicos agresivos. ",Botox onz,"2,500.00 "
BEAUTY HAIR,TRATAMIENTOS PROFUNDOS,"Incluye lavado y secado. Tratamiento intensivo de reconstrucción que repara el cabello maltratado, reduce el frizz y aporta brillo y suavidad duradera.",Cirugia Capilar DEYA onz,"2,800.00 "
BEAUTY HAIR,TRATAMIENTOS PROFUNDOS,"Incluye lavado y secado. Tratamiento detox que purifica profundamente el cuero cabelludo y el cabello, eliminando impurezas y exceso de grasa para un acabado ligero y brillante.",Tratamiento Profundo Carbon Activado DEYA - Pelo Corto,"1,500.00 "
BEAUTY HAIR,TRATAMIENTOS PROFUNDOS,"Incluye lavado y secado. Tratamiento detox que purifica profundamente el cuero cabelludo y el cabello, eliminando impurezas y exceso de grasa para un acabado ligero y brillante.",Tratamiento Profundo Carbon Activado DEYA - Pelo Extra Largo,"2,500.00 "
BEAUTY HAIR,TRATAMIENTOS PROFUNDOS,"Incluye lavado y secado. Tratamiento detox que purifica profundamente el cuero cabelludo y el cabello, eliminando impurezas y exceso de grasa para un acabado ligero y brillante.",Tratamiento Profundo Carbon Activado DEYA - Pelo Largo,"2,000.00 "
BEAUTY HAIR,DEFINICION DE RIZOS,"Incluye lavado y secado. Tratamiento detox que purifica profundamente el cuero cabelludo y el cabello, eliminando impurezas y exceso de grasa para un acabado ligero y brillante.",Definicion de Rizos - Corto,"1,500.00 "
BEAUTY HAIR,DEFINICION DE RIZOS,Incluye lavado y secado,Definicion de Rizos - Extra Corto,"1,000.00 "
BEAUTY HAIR,DEFINICION DE RIZOS,Incluye lavado y secado,Definicion de Rizos - Extra Largo,"2,500.00 "
BEAUTY HAIR,DEFINICION DE RIZOS,Incluye lavado y secado,Definicion de Rizos - Mediano/Largo,"2,000.00 "
BEAUTY HAIR,CORTES,Lavado y secado no incluido,Corte de Pelo con Diseño ,"2,500.00 "
BEAUTY HAIR,CORTES,Lavado y secado no incluido,Corte de Pollina,500.00 
BEAUTY HAIR,CORTES,Lavado y secado no incluido,Corte de Puntas con Tijeras ,600.00 
BEAUTY HAIR,CORTES,Lavado y secado no incluido,Limpieza de Puntas con Maquina o Tijeras,"1,000.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas con Cepillo (Corto/Medio),450.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas con Cepillo (Largo/Extra Largo),500.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas Pelo Extra Corto,600.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas Pelo Corto,800.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas Pelo Mediano/Largo,"1,000.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas Pelo Extra Largo,"1,500.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas Hollywood Pelo  Corto,"1,000.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas Hollywood Pelo Mediano/Largo,"1,500.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Ondas Hollywood Pelo Extra Largo,"1,800.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Planchado de Pelo Corto,400.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Planchado Pelo Mediano/Largo,500.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Planchado de Pelo Extra Largo,600.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Peinado Niña,800.00 
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Peinado Sencillo,"1,000.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Peinado Elaborado,"1,500.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Peinado de Novia,"2,000.00 "
BEAUTY HAIR,"PEINADOS, ONDAS Y PLANCHADOS",Adicional al Lavado y Secado,Prueba de Peinado de Novia,"3,000.00 "
BEAUTY HAIR,PROCESOS DE COLOR,Incluye lavado y secado,Tinte Completo Cabello Corto,"3,000.00 "
BEAUTY HAIR,PROCESOS DE COLOR,Incluye lavado y secado,Tinte Completo Cabello Mediano,"3,500.00 "
BEAUTY HAIR,PROCESOS DE COLOR,Incluye lavado y secado,Tinte Completo Cabello Largo,"4,000.00 "
BEAUTY HAIR,PROCESOS DE COLOR,Incluye lavado y secado,Tinte Completo Cabello Extra Largo,"6,000.00 "
BEAUTY HAIR,PROCESOS DE COLOR,Incluye lavado y secado,Tinte Retoque Cintillo,"2,000.00 "
BEAUTY HAIR,PROCESOS DE COLOR,Incluye lavado y secado,Tinte Retoque Raiz (para cubrir raiz o crecimiento),"3,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Balayage -  Técnica de color degradado que aporta luz y dimensión al cabello). Solicitar cotización de cortesia para precio final.	,Cabello Corto       ,"8,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Balayage -  Técnica de color degradado que aporta luz y dimensión al cabello). Solicitar cotización de cortesia para precio final.	,Cabello Medio,"10,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Balayage -  Técnica de color degradado que aporta luz y dimensión al cabello). Solicitar cotización de cortesia para precio final.	,Cabello Largo,"12,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Balayage -  Técnica de color degradado que aporta luz y dimensión al cabello). Solicitar cotización de cortesia para precio final.	,Cabello Extra Largo,"16,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Baby Lights: Mechas finas y delicadas que iluminan el cabello con un efecto súper natural y sutil,Cabello Corto       ,"8,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Baby Lights: Mechas finas y delicadas que iluminan el cabello con un efecto súper natural y sutil,Cabello Medio,"12,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Baby Lights: Mechas finas y delicadas que iluminan el cabello con un efecto súper natural y sutil,Cabello Largo,"16,000.00 "
BEAUTY HAIR,TECNICAS DE COLOR,Baby Lights: Mechas finas y delicadas que iluminan el cabello con un efecto súper natural y sutil,Cabello Extra Largo,"18,000.00 "
MAQUILLAJE SEMIPERMENTE,CEJAS,"Técnica pelo a pelo manual tradicional, no apta para pieles queloides o grasas",Microblading ,"10,000.00 "
